RegionID,RegionName,StateName,31/01/2000,29/02/2000,31/03/2000,30/04/2000,31/05/2000,30/06/2000,31/07/2000,31/08/2000,30/09/2000,31/10/2000,30/11/2000,31/12/2000,31/01/2001,28/02/2001,31/03/2001,30/04/2001,31/05/2001,30/06/2001,31/07/2001,31/08/2001,30/09/2001,31/10/2001,30/11/2001,31/12/2001,31/01/2002,28/02/2002,31/03/2002,30/04/2002,31/05/2002,30/06/2002,31/07/2002,31/08/2002,30/09/2002,31/10/2002,30/11/2002,31/12/2002,31/01/2003,28/02/2003,31/03/2003,30/04/2003,31/05/2003,30/06/2003,31/07/2003,31/08/2003,30/09/2003,31/10/2003,30/11/2003,31/12/2003,31/01/2004,29/02/2004,31/03/2004,30/04/2004,31/05/2004,30/06/2004,31/07/2004,31/08/2004,30/09/2004,31/10/2004,30/11/2004,31/12/2004,31/01/2005,28/02/2005,31/03/2005,30/04/2005,31/05/2005,30/06/2005,31/07/2005,31/08/2005,30/09/2005,31/10/2005,30/11/2005,31/12/2005,31/01/2006,28/02/2006,31/03/2006,30/04/2006,31/05/2006,30/06/2006,31/07/2006,31/08/2006,30/09/2006,31/10/2006,30/11/2006,31/12/2006,31/01/2007,28/02/2007,31/03/2007,30/04/2007,31/05/2007,30/06/2007,31/07/2007,31/08/2007,30/09/2007,31/10/2007,30/11/2007,31/12/2007,31/01/2008,29/02/2008,31/03/2008,30/04/2008,31/05/2008,30/06/2008,31/07/2008,31/08/2008,30/09/2008,31/10/2008,30/11/2008,31/12/2008,31/01/2009,28/02/2009,31/03/2009,30/04/2009,31/05/2009,30/06/2009,31/07/2009,31/08/2009,30/09/2009,31/10/2009,30/11/2009,31/12/2009,31/01/2010,28/02/2010,31/03/2010,30/04/2010,31/05/2010,30/06/2010,31/07/2010,31/08/2010,30/09/2010,31/10/2010,30/11/2010,31/12/2010,31/01/2011,28/02/2011,31/03/2011,30/04/2011,31/05/2011,30/06/2011,31/07/2011,31/08/2011,30/09/2011,31/10/2011,30/11/2011,31/12/2011,31/01/2012,29/02/2012,31/03/2012,30/04/2012,31/05/2012,30/06/2012,31/07/2012,31/08/2012,30/09/2012,31/10/2012,30/11/2012,31/12/2012,31/01/2013,28/02/2013,31/03/2013,30/04/2013,31/05/2013,30/06/2013,31/07/2013,31/08/2013,30/09/2013,31/10/2013,30/11/2013,31/12/2013,31/01/2014,28/02/2014,31/03/2014,30/04/2014,31/05/2014,30/06/2014,31/07/2014,31/08/2014,30/09/2014,31/10/2014,30/11/2014,31/12/2014,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022,30/11/2022,31/12/2022,31/01/2023,28/02/2023,31/03/2023,30/04/2023,31/05/2023,30/06/2023,31/07/2023,31/08/2023,30/09/2023,31/10/2023,30/11/2023,31/12/2023
88379,69217,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99766.05,99972.3,100465.08,101446.42,102240.25,103198.72,104610.57,106871.34,108438.23,109398.03,109732.86,110472.17,111219.61,111858.03,112553.4,113690.61,115644.03,116898.93,117192.81,116455.3,116014.15,116207.45,117091.89,119173.56,121766.24,124405.88,125988.65,127206.5,128409.29,129471.47,129826.92,129574.19,129441.1,128869.68,127380.97,124799.96,123024.04,122361.22,123526.3,125003.0,126874.75,127610.13,127520.55,126625.54,125784.88,125318.06,124841.54
75968,41234,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56384.13,56630.27,56975.43,57670.59,58533.5,58860.45,58491.39,57412.52,56473.74,56053.04,56049.71,55911.09,55483.6,54848.7,54495.36,54232.11,54057.23,53889.76,53650.52,53853.12,54227.92,54598.7,54602.05,54187.23,54149.45,54058.05,53811.27,53496.82,53379.98,53881.78,54617.96,55505.16,56235.6,56666.13,56846.21,56785.45,57019.55,57366.12,58112.08,58614.6,59116.53,59439.02,59829.42,60275.09,60889.26,61737.86,62722.87,63906.25,65106.91,65943.8,66186.33,65895.05,65827.32,65967.19,66117.57,66173.88,66348.34,66668.38,67071.27,67012.79,66960.16,66509.28,66528.78,66677.06,67047.37,67180.71,67452.97,67910.43,68558.54,68954.26,69224.7,69347.23,69908.38,70363.96,71035.17,71232.58,71288.87,71131.22,71198.71,71474.34,71742.62,71549.68,71604.08,71864.38,71767.22,70854.65,69647.72,68902.8,68420.23,68015.73,67476.95,67004.44,66364.17,65960.33,65411.15,64850.98,63844.39,63467.13,63748.81,64757.47,65667.64,66278.94,66956.49,68015.59,69516.54,71222.69,73134.21,74699.44,76080.72,76617.59,77479.43,78009.25,79029.86,79781.17,80039.54,79156.58,77415.48,76408.54,76433.27,77179.75,78800.98,81086.18,83662.04,85591.26,86853.05,88491.47,90118.36,91537.18,92517.98,93241.11,94157.37,94665.67,94638.65,94600.65,94742.35,95160.28,95468.79,95213.85,94981.76,94296.49,94213.13,94311.7,95301.07,96016.99
93436,80510,CO,180321.49,182961.14,184608.85,188564.28,191155.69,194529.36,196563.05,198475.51,198970.79,199614.41,198356.75,197091.09,197175.2,199539.48,202772.08,204924.54,207042.49,208217.33,209173.57,209987.51,211755.2,212662.59,214492.95,216135.49,218236.45,219118.06,221941.69,223055.86,224082.92,219381.43,214450.75,207541.94,203518.82,201147.55,200455.76,199383.67,199107.18,198012.1,197665.26,197930.23,198756.67,200084.73,199633.68,199823.18,199659.18,200474.28,199860.89,199061.75,198115.97,199307.66,200979.03,202868.5,203465.12,203339.13,203152.98,203162.41,203283.8,202776.96,203652.39,203982.86,204989.4,204817.55,205737.83,208213.76,211460.68,215121.25,217688.17,219695.58,221189.83,222443.39,224063.88,225601.08,227280.52,228720.82,229767.99,231658.52,234030.11,235130.91,233777.04,232624.16,233428.74,234601.92,233899.46,232139.26,229837.19,228862.02,226499.61,223794.04,219658.62,217522.12,218007.12,218223.81,218665.72,217680.44,218678.08,219621.82,221689.45,222306.88,223727.38,225656.29,227599.51,227803.55,226771.45,227134.73,227106.1,227300.72,226698.63,224924.43,220616.16,216057.5,213823.56,213969.58,214208.31,213295.19,212598.7,212039.61,211749.85,211286.95,212809.23,216886.41,220795.19,221747.51,220140.17,218355.8,215755.54,214001.78,212257.89,212951.57,211732.8,210630.84,208662.1,207875.98,206838.42,205423.76,203776.96,201757.86,201281.83,201436.2,202441.49,202341.55,204262.01,206169.9,208560.59,208778.68,208372.81,208311.39,209781.04,212737.27,215571.97,217368.7,218655.92,220093.71,221964.73,223385.53,223722.64,224724.74,226573.71,229809.12,231753.85,232456.92,231360.33,230169.61,229436.43,230386.59,231793.46,233944.12,235308.62,237079.05,238663.67,240776.26,242550.96,244674.15,247958.04,251080.41,254129.5,255809.42,257003.42,257112.61,256290.14,256460.29,258273.88,262756.33,267848.76,272426.15,275212.16,276816.03,278399.59,281672.33,285578.24,288339.81,289074.75,289958.91,292601.11,296034.99,298736.57,301029.56,303583.84,307205.3,310325.14,312334.93,312751.27,312459.1,312588.18,313360.71,314970.22,317137.79,319718.58,323136.47,326372.07,329159.12,329783.19,329233.28,327741.81,326583.81,325931.47,326375.37,327533.96,329155.31,331126.74,333021.95,335902.56,339484.36,343323.92,345997.65,347586.97,349219.23,350522.97,351180.83,350074.92,348779.8,347407.88,346901.34,347678.08,349897.92,352654.78,355091.36,355926.26,356415.57,356941.29,358742.26,362441.16,368060.88,374402.9,379934.1,381694.16,381258.57,380148.65,382237.8,387271.18,394429.12,402593.58,409977.06,415620.73,420212.73,425638.72,433783.99,443714.85,453208.93,458508.55,456937.33,451733.64,446465.74,445212.54,447084.35,455428.13,468110.17,484767.51,500001.49,510068.02,514646.81,513588.18,509750.67,504974.12,501066.03,497696.89,492903.78,485361.93,478230.32,472684.44,471003.54,470960.76,472432.93,473230.89,473181.94,472011.79,469800.38,466929.92,464126.12
97186,93254,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137999.01,139282.46,139033.63,139472.4,139978.53,141551.37,142978.79,143347.58,143042.84,143489.67,144197.67,147431.28,150110.16,152606.81,152843.36,153216.86,154339.97,156471.09,158059.37,158307.35,158175.05,159769.94,161369.18,163291.12,163204.62,164520.02,164335.37,165783.29,166927.5,169326.06,170151.05,171942.37,173501.47,175525.3,175307.65,174216.58,172470.39,169564.69,166756.35,165572.94,167872.1,171183.91,173939.93,174753.58,176272.95,177202.52,179574.99,179216.87,177752.14,174736.51,172378.95,169828.63,167534.83,166059.07,168674.36,174500.36,184306.14,192893.09,199858.92,205112.69,210116.14,213907.25,215570.29,217659.8,220210.88,220768.25,218392.57,215900.18,215087.9,216958.1,219480.91,223689.69,228881.11,233562.26,236816.65,236557.03,235863.57,233631.7,231533.48,227840.95,224675.09,221359.56,218032.43,214774.79,212482.62,212331.97,212442.84,213629.41,214653.11,217345.88,219216.4,220246.59,220036.52,220921.59,222115.57
67062,21821,MD,73841.56,73997.75,74099.53,74284.39,74705.14,75077.35,75369.31,75067.53,74633.74,74228.46,74325.9,74727.36,75238.43,75497.41,75709.89,76233.19,76855.52,77635.61,78130.88,78291.93,78261.04,78047.43,78042.3,78088.28,78697.53,79758.63,81148.61,82350.87,83409.3,84195.16,84836.51,85373.83,85962.11,86440.94,86871.53,87252.08,87783.75,88448.44,89073.72,89700.16,90442.69,91663.47,93004.46,94318.22,95381.94,96596.31,97907.91,99148.32,100391.64,101933.88,103596.28,105548.48,107361.57,109257.12,111102.34,113195.81,115553.96,117692.99,119677.14,121366.71,123322.6,125657.76,128487.83,131354.66,133707.07,136266.64,138896.04,141475.56,143558.73,145258.57,146669.43,147828.56,148762.23,149865.73,151137.92,152611.66,153771.72,154797.2,155563.31,156349.46,156762.72,157004.13,157062.81,157136.31,157401.9,157746.32,158236.03,158705.69,158761.96,158552.64,158210.48,158470.75,158504.41,158256.14,157500.52,156776.55,156122.38,155461.25,154718.67,153620.04,151738.92,149389.22,147009.41,145489.58,144117.03,143078.38,141897.46,140857.67,139602.54,138420.13,137213.21,136111.86,134985.63,134074.31,132286.55,130184.71,127925.97,126484.9,125850.46,125290.65,124949.8,124221.96,123835.3,123560.41,123290.28,123225.51,123163.86,123356.41,123210.55,123408.25,123471.66,123465.84,122525.94,121607.96,120823.09,120675.54,120453.68,120278.74,120104.82,120328.44,121113.58,121976.18,122622.58,122673.25,122844.2,123131.86,123356.38,123441.48,123590.9,123611.48,122312.17,119636.14,116355.18,113722.93,111652.3,110247.94,109475.15,109123.33,108840.58,108373.64,108719.52,109342.96,110477.76,111052.47,110866.74,110630.23,110305.87,110430.49,110702.91,111389.73,112403.18,113502.35,114646.12,115464.41,116092.51,116590.89,116730.75,116274.78,116156.35,116891.43,117750.4,118087.29,117986.53,118597.53,120043.1,122207.87,124570.09,126229.67,126843.1,126144.72,124912.01,123744.52,122620.46,121786.93,120884.01,120189.34,119255.94,118224.35,117282.34,116422.92,116077.81,115572.55,115238.78,115102.7,115404.4,115424.57,115058.98,114497.63,114156.68,114369.61,115455.65,117016.11,118785.96,119651.85,119893.06,119433.62,119208.96,119164.51,119615.43,120195.11,121030.92,121665.25,122740.19,124077.02,125713.08,127077.03,127914.94,128446.8,128611.23,128751.29,129099.27,129081.93,129355.49,129469.2,130099.41,130946.39,131815.11,133201.87,134570.89,136408.22,137726.19,139093.95,140446.68,141998.56,143096.54,142819.08,142093.89,142247.29,144173.79,147173.12,150154.86,153162.03,155494.66,157373.77,158545.55,159055.54,159671.8,161570.15,163711.37,165040.36,164928.07,165464.33,166824.1,168127.37,169446.85,170636.58,172503.55,174555.33,177013.52,179405.46,180371.63,179867.56,178186.09,177543.68,177592.71,177565.32,178259.26,178794.55,180500.8,181988.51,184145.41,186557.76,189089.16,191368.07,192362.59,191619.49,190242.77,188718.44
82924,56548,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124762.3,124325.56,124364.57,124920.68,126287.3,129053.34,132568.22,136622.67,139318.11,141030.56,142052.75,143252.2,144201.83,144680.19,145403.79,146696.86,148948.2,150401.28,150987.57,150346.81,149139.99,147338.2,145381.7,144968.11,145719.35,147240.43,148655.43,150175.11,151511.19,151380.82,150572.01,149607.11,149301.16,149053.8,148458.92
66658,20839,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643255.24,644589.8,646533.22,650172.56,652799.29,649659.4,641583.61,631331.51,625490.87,623737.0,624825.07,627170.48,629633.98,631815.89,634634.49,638195.62,643327.3,646960.48,649681.35,649013.44,646454.79,642796.18,639696.1
87736,67745,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45538.44,46034.05,46221.94,46935.09,47387.67,47594.38,47125.79,46455.48,45734.51,45354.54,45124.84,45096.31,45207.5,45194.19,45302.34,45302.01,45290.37,45422.21,45382.92,45331.03,45097.98,44803.95,44425.79,43988.54,43689.38,43937.55,44614.63,45466.55,45894.2,45937.01,45811.34,45897.66,45901.57,46353.05,47036.62,47498.5,47629.07,47896.53,48989.31,50114.85,50995.2,51140.22,51130.3,50489.11,50236.56,50292.42,50829.67,51572.43,53168.53,55451.06,58241.25,60390.13,62400.75,64111.72,65499.93,66510.89,66593.73,66578.52,66484.4,66624.24,66918.14,67301.05,68144.81,69249.47,70393.59,70995.17,71042.68,70741.07,70861.5,71628.96,72990.35,74802.77,76565.72,78200.41,79175.4,79781.11,79931.76,80420.47,80624.38,81141.13,81566.06,81777.52,81382.29,79952.63,78599.72,78148.29,78855.81,79761.92,80083.88,80261.22,80876.63,81876.46,82720.22,82506.04,81358.46
92989,79527,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138747.77,138154.61,137832.32,137514.97,138307.27,140295.61,143243.99,146037.16,148538.33,150787.0,152742.04,153274.6,152011.84,150048.5,148811.76,148409.61,148061.74,146699.85,144188.8,140871.94,138617.39,136818.49,135530.9,133654.97,131686.84,130331.3,129826.55,130426.07,130636.4,130325.19,129419.87,128603.83,127503.08,126020.01,124380.74
85121,61735,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151812.36,152120.36,152353.98
